ISO,Country,AI preparedness Index,GDP per capita (current US$),GDP per capita growth (annual %),Real GDP growth (Annual change in %),Innovation and Economic Integration,Digitial Infrastructure,Individuals using the Internet (% of population),Secure Internet servers (per 1 million people),Regulation and Ethics,Human Capital and Labor Market Policies
AUS,Australia,0.73,64821,0.94,2,0.16,0.18,97.1,47568,0.21,0.17
AUT,Austria,0.72,56034,-1.93,-0.8,0.17,0.19,95.3,42281,0.20,0.16
BEL,Belgium,0.67,54701,0.33,1.4,0.17,0.17,94.6,33643,0.16,0.16
CAN,Canada,0.71,53431,-1.68,1.2,0.16,0.17,94,42550,0.21,0.17
HRV,Croatia,0.58,21865,3.19,3.1,0.14,0.17,83.2,29422,0.14,0.13
CYP,Cyprus,0.63,36551,1.02,2.5,0.15,0.17,91.2,557174,0.16,0.14
CZE,Czechia,0.65,31591,-1.85,-0.1,0.16,0.17,86,80152,0.16,0.16
DNK,Denmark,0.78,68454,1.74,2.5,0.18,0.20,98.8,261262,0.22,0.18
EST,Estonia,0.76,30133,-4.54,-3,0.16,0.20,93.2,112224,0.22,0.18
FIN,Finland,0.76,52926,-1.66,-1.2,0.17,0.19,93.5,153868,0.23,0.17
FRA,France,0.70,44691,0.61,1.1,0.17,0.18,86.8,52083,0.18,0.16
DEU,Germany,0.75,54343,0.35,-0.3,0.18,0.19,92.5,139985,0.20,0.18
GRC,Greece,0.58,23401,2.64,2,0.15,0.15,85,14230,0.14,0.14
HKG,Hong Kong,0.70,50532,0.67,3.3,0.17,0.20,96,131227,0.17,0.16
ISL,Iceland,0.70,79637,2.01,5,0.15,0.17,99.8,85403,0.21,0.17
IRL,Ireland,0.69,103888,-8.06,-5.5,0.16,0.17,96.5,150045,0.19,0.17
ISR,Israel,0.73,52642,0.33,2,0.19,0.17,87,13047,0.19,0.17
ITA,Italy,0.62,39003,0.73,0.7,0.16,0.17,87,30239,0.15,0.13
JPN,Japan,0.73,33767,2.18,1.7,0.18,0.18,87,31702,0.20,0.17
KOR,Korea,0.73,33121,1.28,1.4,0.18,0.18,97.4,9728,0.20,0.16
LVA,Latvia,0.63,22503,1.81,-0.3,0.15,0.16,92.2,26170,0.16,0.16
LTU,Lithuania,0.66,27786,-1.05,-0.3,0.15,0.18,88.5,96900,0.17,0.17
LUX,Luxembourg,0.74,128678,-3.07,-1.1,0.15,0.19,99.3,60480,0.22,0.17
MAC,Macao,NA,67477,74.67,NA,NA,0.16,89.2,5760,0.14,0.09
MLT,Malta,0.66,40396,3.37,7.5,0.15,0.17,92.1,4823,0.19,0.15
NLD,Netherlands,0.77,64572,-0.91,0.1,0.18,0.19,97,194963,0.22,0.17
NZL,New Zealand,0.75,48281,-1.31,0.6,0.16,0.19,96.2,18910,0.22,0.18
NOR,Norway,0.71,87925,-0.66,0.5,0.16,0.17,99,37715,0.21,0.17
PRT,Portugal,0.65,27331,1.13,2.3,0.16,0.16,85.8,28927,0.18,0.15
PRI,Puerto Rico,NA,36779,1.02,0.6,NA,0.08,NA,464,0.14,0.14
SGP,Singapore,0.80,84734,-3.72,1.1,0.18,0.21,94.3,228648,0.22,0.20
SVK,Slovakia,0.59,24491,1.47,1.4,0.14,0.17,87.2,39912,0.14,0.15
SVN,Slovenia,0.63,32610,1.71,2.1,0.14,0.16,90.4,63979,0.18,0.15
ESP,Spain,0.65,33509,1.43,2.7,0.16,0.17,95.4,28737,0.17,0.15
SWE,Sweden,0.75,55517,-0.78,-0.2,0.18,0.18,95.7,52996,0.21,0.17
CHE,Switzerland,0.76,99565,-0.54,0.7,0.17,0.19,97.3,163635,0.21,0.19
TWN,"Taiwan, China",NA,NA,NA,NA,0.13,NA,NA,NA,0.18,0.20
GBR,United Kingdom,0.73,49464,-0.48,0.3,0.16,0.18,96.3,47453,0.21,0.17
USA,United States,0.77,82769,2.38,2.9,0.18,0.19,93.1,187747,0.22,0.18
ALB,Albania,0.53,8575,5.14,3.5,0.13,0.11,83.1,1220,0.15,0.14
DZA,Algeria,0.37,5364,2.55,4.1,0.07,0.08,76.9,100,0.07,0.14
AGO,Angola,0.26,2308,-2.06,1,0.09,0.06,44.8,40,0.05,0.07
ARG,Argentina,0.47,14187,-1.89,-1.6,0.09,0.13,89.2,5451,0.14,0.12
ARM,Armenia,0.49,8053,7.51,8.3,0.12,0.12,80,1167,0.13,0.12
AZE,Azerbaijan,0.47,7126,1,1.1,0.10,0.11,89,550,0.11,0.15
BHS,Bahamas,0.46,35897,2.15,2.6,0.08,0.11,94.8,6434,0.15,0.12
BHR,Bahrain,0.52,29219,-0.44,3,0.14,0.12,100,5578,0.10,0.15
BRB,Barbados,0.50,23804,4.09,4.1,0.12,0.10,80,1059,0.16,0.13
BLR,Belarus,0.47,7829,4.45,3.9,0.11,0.15,91.5,11947,0.08,0.14
BLZ,Belize,0.42,7460,-0.91,1.1,0.10,0.09,72.4,405693,0.11,0.13
BOL,Bolivia,0.38,3686,1.68,3.1,0.09,0.09,70.2,327,0.08,0.12
BIH,Bosnia and Herzegovina,0.43,8639,2.84,1.7,0.11,0.11,83.4,5346,0.09,0.12
BWA,Botswana,0.41,7820,1.06,2.7,0.11,0.08,81.4,441,0.11,0.11
BRA,Brazil,0.50,10295,2.5,2.9,0.11,0.14,84.2,5629,0.14,0.12
BRN,Brunei Darussalam,0.50,32963,0.62,1.4,0.11,0.12,99,8774,0.12,0.15
BGR,Bulgaria,0.58,15886,5,1.8,0.14,0.15,80.4,54104,0.14,0.15
CPV,Cabo Verde,0.43,4851,4.95,5.1,0.11,0.08,73.5,952,0.12,0.12
CHL,Chile,0.59,17068,-0.32,0.2,0.12,0.15,94.5,12300,0.17,0.14
CHN,China,0.64,12614,5.36,5.2,0.15,0.19,77.5,1508,0.15,0.15
COL,Colombia,0.49,6947,-0.51,0.6,0.10,0.12,77.3,1109,0.14,0.13
CRI,Costa Rica,0.54,16942,4.62,5.1,0.13,0.12,85.4,1957,0.15,0.14
DOM,Dominican Republic,0.47,10718,1.45,2.4,0.13,0.09,84.6,216,0.12,0.12
ECU,Ecuador,0.44,6610,1.47,2.4,0.09,0.10,72.7,475,0.13,0.12
EGY,Egypt,0.39,3457,2.02,3.8,0.10,0.09,72.7,53,0.08,0.12
SLV,El Salvador,0.39,5391,3.03,3.5,0.11,0.08,67.7,182,0.09,0.10
SWZ,Eswatini,0.31,3611,4.03,4.9,0.09,0.06,57.6,140,0.06,0.09
FJI,Fiji,0.45,5889,6.97,7.5,0.11,0.09,79.3,229,0.12,0.13
GAB,Gabon,0.32,7803,0.22,2.4,0.08,0.08,71.9,43,0.07,0.10
GEO,Georgia,0.53,8284,7.75,7.5,0.13,0.12,81.9,5252,0.14,0.13
GTM,Guatemala,0.39,5763,1.94,3.5,0.12,0.08,56.1,109,0.09,0.10
GUY,Guyana,0.42,20765,33.04,33,0.12,0.07,81.7,102,0.11,0.12
HUN,Hungary,0.56,22142,-0.37,-0.9,0.14,0.16,91.5,53718,0.14,0.13
IND,India,0.49,2481,7.2,8.2,0.11,0.11,NA,966,0.15,0.12
IDN,Indonesia,0.52,4876,4.17,5,0.11,0.12,69.2,2722,0.16,0.13
IRN,Iran,0.38,4466,3.79,5,0.09,0.12,79.6,6599,0.06,0.11
IRQ,Iraq,0.27,5565,-5.1,-2.9,0.04,0.07,81.7,44,0.06,0.11
JAM,Jamaica,0.43,6840,2.18,2.6,0.09,0.09,83.4,191,0.12,0.13
JOR,Jordan,0.48,4456,1.04,2.6,0.13,0.09,92.5,183,0.13,0.13
KAZ,Kazakhstan,0.55,12919,3.57,5.1,0.11,0.15,92.9,5814,0.13,0.16
KWT,Kuwait,0.46,33730,-8.88,-3.6,0.11,0.12,99.7,386,0.12,0.11
LBN,Lebanon,0.42,NA,NA,-0.7,0.13,0.09,83.5,676,0.08,0.12
LBY,Libya,0.24,6173,8.92,10.2,0.05,0.06,88.5,112,0.03,0.11
MYS,Malaysia,0.63,11379,2.29,3.6,0.14,0.15,97.7,8083,0.17,0.17
MDV,Maldives,NA,12530,4.35,4,NA,0.10,84.7,1238,0.11,0.08
MUS,Mauritius,0.53,11613,7.08,7,0.13,0.12,79.5,2466,0.14,0.13
MEX,Mexico,0.53,13790,2.3,3.2,0.13,0.13,81.2,412,0.14,0.14
MNG,Mongolia,0.48,5839,5.96,7.4,0.10,0.13,83,2355,0.12,0.14
MNE,Montenegro,0.50,12221,6.52,6,0.11,0.11,89.8,2248,0.13,0.15
MAR,Morocco,0.43,3771,2.34,3.4,0.11,0.10,91,568,0.10,0.12
NAM,Namibia,0.42,4168,1.58,4.2,0.10,0.08,64.4,389,0.12,0.12
OMN,Oman,0.53,21550,-5.09,1.3,0.13,0.12,95.3,279,0.13,0.16
PAK,Pakistan,0.37,1365,-1.58,-0.2,0.09,0.08,27.4,113,0.11,0.10
PAN,Panama,0.50,18686,6,7.3,0.14,0.11,78,2621,0.14,0.12
PRY,Paraguay,0.41,6276,3.43,4.7,0.10,0.10,78.1,643,0.11,0.11
PER,Peru,0.49,7907,-1.64,-0.6,0.12,0.11,79.5,750,0.13,0.12
PHL,Philippines,0.50,3805,4.69,5.5,0.12,0.10,83.8,305,0.12,0.15
POL,Poland,0.60,22057,0.51,0.2,0.14,0.17,86.4,37341,0.15,0.14
QAT,Qatar,0.53,80196,1.24,1.2,0.13,0.13,99.7,450,0.13,0.14
MKD,Republic of North Macedonia,0.48,8624,2.29,2.1,0.12,0.12,87.2,1858,0.13,0.12
ROU,Romania,0.58,18404,2.35,2.1,0.15,0.15,89.2,26837,0.15,0.13
RUS,Russian Federation,0.56,13817,3.89,3.6,0.12,0.16,92.2,23604,0.12,0.16
LCA,Saint Lucia,0.37,13555,1.92,2.2,0.05,0.08,70.1,703,0.14,0.11
VCT,Saint Vincent and the Grenadines,0.34,10520,6.77,5.8,0.03,0.07,76,168,0.14,0.10
SAU,Saudi Arabia,0.58,32094,-4,-0.8,0.12,0.14,100,431,0.14,0.18
SRB,Serbia,0.54,12282,4.49,2.5,0.11,0.15,85.4,12648,0.14,0.14
SYC,Seychelles,0.53,17879,3.25,3.2,0.14,0.11,87.4,52608,0.14,0.13
ZAF,South Africa,0.50,6023,-0.63,0.7,0.11,0.12,75.7,14787,0.14,0.12
LKA,Sri Lanka,0.44,3828,-1.66,-2.3,0.09,0.11,51.2,482,0.11,0.13
SUR,Suriname,0.42,5494,1.61,2.1,0.11,0.09,78.4,1388,0.10,0.12
SYR,Syrian Arab Republic,0.30,NA,NA,NA,0.08,0.07,NA,93,0.02,0.13
THA,Thailand,0.54,7182,1.93,1.9,0.12,0.14,89.5,3003,0.13,0.14
TTO,Trinidad and Tobago,0.44,20016,1.22,1.1,0.11,0.09,84.7,429,0.11,0.12
TUN,Tunisia,0.47,3978,-0.63,0,0.10,0.11,72.4,818,0.12,0.13
TUR,Turkey,0.54,13106,4.68,5.1,0.13,0.14,86,9882,0.13,0.14
UKR,Ukraine,0.51,5070,15.22,5.3,0.10,0.14,82.4,9888,0.12,0.15
ARE,United Arab Emirates,0.63,49041,-0.42,3.6,0.15,0.15,100,2120,0.17,0.15
URY,Uruguay,0.55,22798,0.45,0.4,0.12,0.13,89.9,4353,0.17,0.13
VEN,Venezuela,0.27,NA,NA,4,0.07,0.07,NA,223,0.02,0.11
AFG,Afghanistan,NA,416,0.54,2.7,NA,0.05,17.7,44,0.04,0.05
BGD,Bangladesh,0.38,2551,4.49,5.8,0.11,0.09,44.5,388,0.10,0.09
BEN,Benin,0.36,1394,3.7,6.4,0.10,0.07,32.2,12,0.10,0.10
BTN,Bhutan,0.44,NA,NA,5,0.09,0.09,88.4,1227,0.15,0.12
BFA,Burkina Faso,0.31,883,0.65,3.1,0.08,0.06,17,23,0.10,0.08
BDI,Burundi,0.29,193,-0.06,2.7,0.07,0.04,11.1,10,0.07,0.11
KHM,Cambodia,0.37,2430,3.62,5,0.11,0.08,60.7,223,0.08,0.09
CMR,Cameroon,0.34,1737,0.56,3.2,0.09,0.07,41.9,17,0.08,0.10
CAF,Central African Republic,0.18,496,-0.19,0.7,0.09,0.02,NA,3,0.04,0.03
TCD,Chad,0.23,681,-0.53,4.9,0.08,0.03,13.2,1,0.05,0.07
COM,Comoros,0.25,1590,1.03,3,0.11,0.04,35.7,19,0.04,0.07
COG,Congo,0.28,2478,-0.53,1.9,0.10,0.05,38.4,19,0.05,0.08
COD,Congo,0.25,628,5.08,8.6,0.07,0.04,30.5,9,0.06,0.07
CIV,Côte d'Ivoire,0.37,2531,3.57,6.2,0.08,0.08,40.7,63,0.10,0.10
DJI,Djibouti,0.32,3555,5.21,7,0.12,0.06,65,63,0.05,0.09
ETH,Ethiopia,0.25,1272,3.76,7.2,0.07,0.05,NA,17,0.07,0.06
GMB,Gambia,0.36,888,2.41,4.8,0.10,0.05,45.9,52,0.09,0.12
GHA,Ghana,0.43,2260,1,2.9,0.09,0.09,69.9,48,0.13,0.11
GIN,Guinea,0.32,1541,4.15,5.7,0.08,0.06,26.5,10,0.07,0.12
GNB,Guinea-Bissau,0.26,951,2.86,5.2,0.12,0.04,32.5,7,0.06,0.04
HTI,Haiti,0.27,1706,-2.99,-1.9,0.14,0.03,NA,7,0.04,0.06
HND,Honduras,0.34,3232,1.82,3.6,0.09,0.06,58.3,138,0.08,0.11
KEN,Kenya,0.45,1952,3.48,5.6,0.11,0.10,35,297,0.13,0.11
KGZ,Kyrgyzstan,0.43,1970,4.29,6.2,0.10,0.11,88.5,816,0.10,0.12
LAO,Lao People's Democratic Republic,0.33,2067,2.31,3.7,0.09,0.06,63.6,274,0.08,0.11
LSO,Lesotho,0.36,916,0.71,2.2,0.08,0.07,48,89,0.10,0.10
LBR,Liberia,0.37,772,2.4,4.6,0.15,0.04,23.5,9,0.08,0.10
MDG,Madagascar,0.31,506,1.28,3.8,0.07,0.05,20.4,22,0.09,0.09
MWI,Malawi,0.34,602,-0.69,1.5,0.10,0.05,18,28,0.10,0.10
MLI,Mali,0.30,869,1.59,4.4,0.08,0.06,35.1,14,0.08,0.08
MRT,Mauritania,0.23,2121,3.39,6.5,0.07,0.05,37.4,35,0.05,0.06
MDA,Moldova,0.48,6729,3.69,0.7,0.10,0.13,80.2,11526,0.13,0.13
MOZ,Mozambique,0.26,623,2.37,5.4,0.07,0.05,19.8,37,0.07,0.07
MMR,Myanmar,0.33,1233,0.26,2.5,0.09,0.07,58.5,20,0.05,0.12
NPL,Nepal,0.35,1378,2.02,2,0.09,0.08,55.8,643,0.09,0.10
NIC,Nicaragua,0.33,2613,3.14,4.6,0.11,0.07,58.2,103,0.06,0.09
NER,Niger,0.33,643,-0.82,2.4,0.13,0.04,23.2,5,0.09,0.06
NGA,Nigeria,0.34,1597,0.72,2.9,0.09,0.08,39.2,48,0.07,0.09
PNG,Papua New Guinea,0.29,2958,1.19,2.9,0.10,0.05,24.1,86,0.09,0.05
RWA,Rwanda,0.44,1010,5.89,8.2,0.11,0.08,34.2,129,0.14,0.10
STP,Sao Tome and Principe,NA,2941,-1.61,0.4,NA,0.06,61.5,39,0.09,0.07
SEN,Senegal,0.40,1706,2.12,4.6,0.09,0.08,60.6,46,0.12,0.10
SLE,Sierra Leone,0.30,758,3.41,5.7,0.09,0.05,20.6,13,0.08,0.08
SOM,Somalia,NA,597,1.06,4.2,0.12,0.04,NA,10,0.03,NA
SSD,South Sudan,NA,NA,NA,NA,NA,0.02,NA,4,0.01,0.04
SDN,Sudan,0.23,2183,-21.16,-18.3,0.08,0.05,NA,2,0.03,0.07
TJK,Tajikistan,0.37,1161,6.14,8.3,0.09,0.06,56.8,124,0.07,0.14
TZA,Tanzania,0.35,1224,2.08,5.1,0.10,0.06,29.1,53,0.09,0.09
TLS,Timor-Leste,0.43,1503,-19,2.3,0.13,0.08,34,241,0.12,0.11
TGO,Togo,0.32,986,3.95,5.6,0.08,0.06,37,91,0.09,0.08
UGA,Uganda,0.35,1002,2.43,4.6,0.11,0.06,15.3,52,0.09,0.09
UZB,Uzbekistan,NA,2850,4.16,6.3,NA,0.11,89,824,0.10,0.13
VNM,Viet Nam,0.48,4282,4.34,5,0.11,0.14,78.1,5256,0.11,0.12
YEM,Yemen,0.25,477,NA,-2,0.12,0.04,NA,7,0.02,0.07
ZMB,Zambia,0.37,1331,2.46,5.4,0.10,0.07,33,55,0.09,0.11
ZWE,Zimbabwe,0.30,2156,3.58,5.3,0.09,0.06,38.4,89,0.06,0.09
